times,stop_id1,longitude1,latitude1,stop_id2,longitude2,latitude2
15,U101009,303877.6899384621,2768072.376047655,U119066,304128.2036436572,2768273.853790149
6,U101009,303877.6899384621,2768072.376047655,U119067,304645.4013813154,2768160.7135526733
2,U101009,303877.6899384621,2768072.376047655,U119068,304675.97157807957,2768087.729499767
5,U101009,303877.6899384621,2768072.376047655,U119069,304404.09539726644,2768183.0122685987
13,U101009,303877.6899384621,2768072.376047655,U119070,304080.35209444124,2767613.493381914
7,U101009,303877.6899384621,2768072.376047655,U119071,304491.0594642331,2768141.2671251013
2,U101009,303877.6899384621,2768072.376047655,U119072,304366.593607451,2767969.0827363613
2,U101009,303877.6899384621,2768072.376047655,U119074,304324.660155528,2767600.0620383685
13,U101009,303877.6899384621,2768072.376047655,U119075,304495.30130300473,2767836.6746926173
1,U101009,303877.6899384621,2768072.376047655,U119076,304696.4449396659,2768015.8127894
17,U101009,303877.6899384621,2768072.376047655,U119077,304096.06848404446,2767977.9787600175
